,vm_a_pu,va_a_degree,vm_b_pu,va_b_degree,vm_c_pu,va_c_degree,p_a_mw,q_a_mvar,p_b_mw,q_b_mvar,p_c_mw,q_c_mvar,unbalance_percent
29,1.286815919853285,-24.16596478314768,0.760872117293999,-136.0119024701465,1.0141972150319865,72.2554489302852,0.0,0.0,5.6999999999999976e-05,0.0003286841051788631,0.0,0.0,0.13045138963861258
30,1.2868159138510835,-24.165965448738124,0.760873244950221,-136.01189611186896,1.0141972008486757,72.25544936171288,0.0,0.0,4.9e-05,0.0003286841051788631,0.0,0.0,0.13041987488591472
31,1.286675952510747,-24.14612013792866,0.7604695240186596,-135.99760592788107,1.01429917925576,72.2701930760346,0.0,0.0,0.0,0.0,0.0,0.0,0.13919960434248718
32,1.2863377456481213,-24.105408290859366,0.7594553188693554,-135.96829558548373,1.014383136838528,72.28983941373627,0.0,0.0,0.0,0.0,0.0,0.0,0.15493622310616584
33,1.2867980193558473,-24.166239733851995,0.7609795370463321,-136.03640377814162,1.0138515650625302,72.26765705468023,0.0,0.0,0.0,0.0,0.000469,0.0003286841051788632,0.12528356351819708
34,1.2866768050026098,-24.14612834901812,0.7604547562406138,-135.99312897530598,1.0142989007275254,72.27014638663944,0.0,0.0,5.600000000000006e-05,0.0003286841051788631,0.0,0.0,0.14057431708769674
35,1.2862953857990944,-24.099504428782627,0.7592879843891868,-135.96057297670094,1.01439173107684,72.2921889288391,0.0,0.0,0.0,0.0,0.0,0.0,0.15826693471646655
36,1.2866576848091402,-24.14630336122487,0.7605268061229905,-136.01310822367793,1.014251468956773,72.27956524650419,0.0,0.0,0.0,0.0,0.0,0.0,0.13876271218919214
37,1.2866151577206666,-24.142615875814794,0.7605306573144214,-136.01421227697946,1.0143239183659853,72.26980820007692,0.00021000000000000012,0.0003286841051788631,0.0,0.0,0.0,0.0,0.13114105852520627
38,1.286217499214792,-24.090688365179044,0.7591149747356413,-135.95418081089662,1.014452779110439,72.29312654840216,0.0,0.0,0.0,0.0,0.0,0.0,0.15917928883591345
